Row ID,Incident Datetime,Incident Date,Incident Time,Incident Year,Incident Day of Week,Report Datetime,Incident ID,Incident Number,CAD Number,Report Type Code,Report Type Description,Filed Online,Incident Code,Incident Category,Incident Subcategory,Incident Description,Resolution,Intersection,CNN,Police District,Analysis Neighborhood,Supervisor District,Supervisor District 2012,Latitude,Longitude,Point,data_as_of,data_loaded_at
136601068069,2024/02/19 07:00:00 PM,2024/02/19,19:00,2024,Monday,2024/02/19 07:00:00 PM,1366010,240105494,240480101,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,08TH ST \ MISSION ST,24311000,Southern,South of Market,6,6,37.77745819091797,-122.41315460205078,POINT (-122.413154602 37.777458191),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
136912768060,2024/02/29 11:38:00 PM,2024/02/29,23:38,2024,Thursday,2024/02/29 11:41:00 PM,1369127,240135736,240603432,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Cite or Arrest Adult,04TH ST \ CLARA ST,23907000,Southern,South of Market,6,6,37.78121566772461,-122.400146484375,POINT (-122.400146484 37.781215668),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
137301168060,2024/03/13 08:55:00 PM,2024/03/13,20:55,2024,Wednesday,2024/03/13 09:18:00 PM,1373011,240164014,240733133,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Cite or Arrest Adult,09TH ST \ HARRISON ST,24209000,Southern,South of Market,6,6,37.772525787353516,-122.41007995605469,POINT (-122.410079956 37.772525787),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
137684868069,2024/03/26 08:54:00 AM,2024/03/26,08:54,2024,Tuesday,2024/03/26 08:59:00 AM,1376848,240191540,240860801,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466797,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
137703768069,2024/03/26 08:54:00 AM,2024/03/26,08:54,2024,Tuesday,2024/03/27 11:30:00 AM,1377037,240191540,240860801,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Cite or Arrest Adult,05TH ST \ CLEMENTINA ST,23939000,Southern,South of Market,6,6,37.78070068359375,-122.40392303466797,POINT (-122.403923035 37.780700684),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
138017168069,2024/04/06 11:34:00 PM,2024/04/06,23:34,2024,Saturday,2024/04/06 11:34:00 PM,1380171,240218122,240973162,IS,Initial Supplement,,68069,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Injury",Open or Active,09TH ST \ JESSIE ST,24416000,Tenderloin,South of Market,6,6,37.77671813964844,-122.41532135009766,POINT (-122.41532135 37.77671814),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
138019568050,2024/04/07 02:15:00 AM,2024/04/07,02:15,2024,Sunday,2024/04/07 02:15:00 AM,1380195,240218332,240980246,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,FOLSOM ST \ HARRIET ST,23924000,Southern,South of Market,6,6,37.77808380126953,-122.4061508178711,POINT (-122.406150818 37.778083801),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
138025068050,2024/04/07 08:12:00 AM,2024/04/07,08:12,2024,Sunday,2024/04/07 08:24:00 AM,1380250,240218495,240980666,II,Initial,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
138102668050,2024/04/07 08:12:00 AM,2024/04/07,08:12,2024,Sunday,2024/04/10 10:10:00 AM,1381026,240218495,240980666,IS,Initial Supplement,,68050,Traffic Collision,Traffic Collision,Traffic Collision,Cite or Arrest Adult,10TH ST \ HARRISON ST,24206000,Southern,South of Market,6,6,37.77157974243164,-122.4112777709961,POINT (-122.411277771 37.771579742),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
138850368060,2024/05/07 03:02:00 PM,2024/05/07,15:02,2024,Tuesday,2024/05/07 03:23:00 PM,1388503,240287600,241282003,II,Initial,,68060,Traffic Collision,Traffic Collision - Hit & Run,"Traffic Collision, Hit & Run, Property Damage",Open or Active,09TH ST \ MCLEA CT,24203000,Southern,South of Market,6,6,37.771732330322266,-122.4090805053711,POINT (-122.409080505 37.77173233),2025/06/12 10:07:02 AM,2025/06/13 09:52:57 AM
